COUNTY,COUNTYFP,1970_65_plus,1970_pop,1980_65_plus,1980_pop,1990_65_plus,1990_pop,2000_65_plus,2000_pop,2010_65_plus,2010_pop,2020_65_plus,2020_pop
Adams County,001,1512,9234,2306,13457,3034,15682,3903,18643,4899,20875,5957,20654
Ashland County,003,2647,16743,2888,16783,2905,16307,2684,16866,2567,16157,3409,16027
Barron County,005,5014,33955,6083,38730,6888,40750,7374,44963,8348,45870,10631,46711
Bayfield County,007,1845,11683,2373,13822,2470,14008,2464,15013,3112,15014,4826,16220
Brown County,009,12947,158244,16823,175280,21007,194594,24214,226778,28789,248007,42279,268740
Buffalo County,011,1969,13743,2293,14309,2263,13584,2313,13804,2459,13587,2982,13317
Burnett County,013,1789,9276,2282,12340,2661,13084,3178,15674,3569,15457,4914,16526
Calumet County,015,2397,27604,2987,30867,3772,34291,4370,40631,5625,48971,8243,52442
Chippewa County,017,5306,47717,6622,52127,7484,52360,8037,55195,8935,62415,12644,66297
Clark County,019,4350,30361,5124,32910,5460,31647,5373,33557,5413,34690,6218,34659
Columbia County,021,5600,40150,6319,43222,7055,45088,7567,52468,8294,56833,11322,58490
Crawford County,023,2149,15252,2518,16556,2682,15940,2753,17243,3062,16644,3871,16113
Dane County,025,21914,290272,27036,323545,34007,367085,39869,426526,50144,488073,82453,561504
Dodge County,027,8039,69004,9960,75064,11342,76559,11986,85897,13251,88759,16949,89396
Door County,029,2985,20106,4003,25029,4559,25690,5235,27961,6245,27785,9484,30066
Douglas County,031,5553,44657,6358,44421,6807,41758,6291,43287,6361,44159,8810,44295
Dunn County,033,3663,29154,4071,34314,4316,35909,4475,39858,5323,43857,7484,45440
Eau Claire County,035,7263,67219,8658,78805,10594,85183,11395,93142,12435,98736,17894,105710
Florence County,037,472,3298,727,4172,771,4590,889,5088,931,4423,1310,4558
Fond du Lac County,039,9679,84567,11031,88964,12658,90083,13942,97296,15225,101633,19979,104154
Forest County,041,1058,7691,1478,9044,1656,8776,1930,10024,1888,9304,2380,9179
Grant County,043,5761,48398,6732,51736,7264,49264,7585,49597,7974,51208,9684,51938
Green County,045,3740,26714,4184,30012,4654,30339,4946,33647,5497,36842,7463,37093
Green Lake County,047,2505,16878,3263,18370,3579,18651,3594,19105,3652,19051,4487,19018
Iowa County,049,2473,19306,2613,19802,2867,20150,3039,22780,3269,23687,4755,23709
Iron County,051,1177,6533,1386,6730,1500,6153,1591,6861,1502,5916,1955,6137
Jackson County,053,2126,15325,2705,16831,2840,16588,2844,19100,3303,20449,4172,21145
Jefferson County,055,7131,60060,8189,66152,8827,67783,9359,74021,11042,83686,15172,84900
Juneau County,057,2641,18455,3334,21039,3797,21650,4078,24316,4677,26664,5654,26718
Kenosha County,059,11218,117917,13284,123137,16193,128181,17169,149577,18679,166426,25713,169151
Kewaunee County,061,2219,18961,2708,19539,2987,18878,3077,20187,3393,20574,4245,20563
La Crosse County,063,9233,80468,11001,91056,12541,97904,13440,107120,15201,114638,21103,120784
Lafayette County,065,2225,17456,2344,17412,2488,16076,2553,16137,2601,16836,3114,16611
Langlade County,067,2804,19220,3264,19978,3695,19505,3908,20740,3986,19977,4906,19491
