COUNTY,COUNTYFP,under_5_1970,under_5_1980,under_5_1990,under_5_2000,under_5_2010,under_5_2020,5_to_9_1970,5_to_9_1980,5_to_9_1990,5_to_9_2000,5_to_9_2010,5_to_9_2020,10_to_14_1970,10_to_14_1980,10_to_14_1990,10_to_14_2000,10_to_14_2010,10_to_14_2020,15_to_17_1970,15_to_17_1980,15_to_17_1990,15_to_17_2000,15_to_17_2010,15_to_17_2020,18_and_19_1970,18_and_19_1980,18_and_19_1990,18_and_19_2000,18_and_19_2010,18_and_19_2020,20_1970,20_1980,20_1990,20_2000,20_2010,20_2020,21_1970,21_1980,21_1990,21_2000,21_2010,21_2020,22_to_24_1970,22_to_24_1980,22_to_24_1990,22_to_24_2000,22_to_24_2010,22_to_24_2020,25_to_29_1970,25_to_29_1980,25_to_29_1990,25_to_29_2000,25_to_29_2010,25_to_29_2020,30_to_34_1970,30_to_34_1980,30_to_34_1990,30_to_34_2000,30_to_34_2010,30_to_34_2020,35_to_44_1970,35_to_44_1980,35_to_44_1990,35_to_44_2000,35_to_44_2010,35_to_44_2020,45_to_54_1970,45_to_54_1980,45_to_54_1990,45_to_54_2000,45_to_54_2010,45_to_54_2020,55_to_59_1970,55_to_59_1980,55_to_59_1990,55_to_59_2000,55_to_59_2010,55_to_59_2020,60_and_61_1970,60_and_61_1980,60_and_61_1990,60_and_61_2000,60_and_61_2010,60_and_61_2020,62_to_64_1970,62_to_64_1980,62_to_64_1990,62_to_64_2000,62_to_64_2010,62_to_64_2020,65_to_74_1970,65_to_74_1980,65_to_74_1990,65_to_74_2000,65_to_74_2010,65_to_74_2020,75_to_84_1970,75_to_84_1980,75_to_84_1990,75_to_84_2000,75_to_84_2010,75_to_84_2020,85_and_over_1970,85_and_over_1980,85_and_over_1990,85_and_over_2000,85_and_over_2010,85_and_over_2020
Adams County,1,663,810,856,893,849,726,916,823,961,1059,889,754,1014,958,941,1208,1019,988,554,794,546,723,664,542,230,410,301,345,395,310,95,179,129,166,157,181,68,159,127,144,143,158,261,585,457,394,540,427,423,1059,1078,768,990,899,419,853,1284,957,1063,1016,910,1433,2121,2797,2374,2206,1048,1401,1771,2575,3381,2467,566,786,876,1294,1755,1911,211,337,444,569,659,831,344,564,756,848,1098,1281,914,1488,1942,2396,2995,3673,516,617,878,1180,1481,1855,82,201,214,327,423,429
Ashland County,3,1366,1236,1183,1067,1001,877,1625,1163,1356,1111,1014,910,1643,1377,1229,1278,1084,1032,1062,965,649,828,645,622,657,711,530,677,491,484,286,335,267,311,255,244,268,303,260,246,274,254,570,776,595,648,592,508,751,1248,1144,853,948,835,680,1012,1258,988,908,829,1514,1544,2142,2512,1750,1807,1756,1477,1442,2168,2490,1736,971,841,602,829,1167,1193,404,370,288,265,427,526,543,537,457,401,544,761,1477,1657,1478,1231,1307,2070,923,925,1065,1005,851,967,247,306,362,448,409,372
Barron County,5,2482,3069,2900,2544,2737,2490,3295,2914,3466,3009,2762,2720,3851,3031,3212,3475,2832,2885,2350,2193,1722,2352,1819,1769,1099,1498,1108,1302,1069,987,384,664,440,567,467,471,306,617,436,447,396,456,1073,1830,1315,1309,1478,1293,1684,2900,2918,2267,2636,2518,1457,2502,3179,2655,2497,2530,3397,3858,5626,7126,5288,5189,3883,3554,3921,6181,7162,5427,1895,1962,1778,2371,3351,3596,752,791,706,786,1217,1567,1033,1264,1135,1198,1811,2182,2982,3482,3618,3651,4327,6070,1630,1980,2376,2660,2759,3234,402,621,894,1063,1262,1327
Bayfield County,7,889,989,941,794,664,638,1084,993,1136,979,753,775,1239,1192,1072,1196,873,847,742,827,579,731,563,510,280,387,282,306,270,266,114,164,121,123,94,142,93,162,118,91,71,127,363,551,357,276,316,294,555,1009,806,601,657,585,474,947,1103,800,606,692,984,1437,2105,2379,1587,1589,1448,1243,1497,2452,2636,1829,781,739,709,994,1515,1429,331,303,283,325,543,626,461,506,429,502,754,1045,1170,1594,1373,1341,1867,3051,535,654,879,836,896,1394,140,125,218,287,349,381
Brown County,9,15835,13692,15109,15653,17167,16052,19170,13929,15167,16686,17147,17297,18319,15987,14270,16801,17123,18543,10104,11232,8105,9983,10386,10718,6539,7630,6234,7029,7070,7678,2755,3685,3047,3528,3550,3727,2394,3600,2997,3487,3489,3717,7196,10387,9280,9697,10368,10137,10532,16164,17947,15945,17644,17624,8853,13961,18018,17561,16333,18080,16394,19230,30305,38769,32878,34631,15042,15531,18727,30280,37823,32523,6649,7157,7311,9629,15869,18626,2341,2560,2916,3169,5425,7239,3174,3712,4154,4347,6946,9869,7897,10092,11507,12281,15035,25488,3987,5223,7201,8600,9490,12022,1063,1508,2299,3333,4264,4769
Buffalo County,11,1145,1074,981,800,775,689,1441,1041,1094,926,789,761,1541,1260,1027,1045,896,826,898,892,570,690,561,487,352,471,297,323,305,280,124,232,116,132,122,121,149,230,122,115,104,117,477,676,476,379,403,363,684,971,990,731,699,645,662,925,1146,881,676,735,1420,1423,1832,2202,1644,1488,1439,1411,1343,1938,2201,1640,736,724,640,694,1034,1075,276,269,294,270,422,472,430,417,393,365,497,636,1162,1255,1178,1228,1295,1763,620,776,770,785,839,912,187,262,315,300,325,307
Burnett County,13,627,858,815,765,792,664,804,858,924,931,765,780,905,992,968,1069,907,925,581,681,566,700,618,515,186,344,279,356,271,287,66,156,104,139,105,87,91,136,100,112,103,133,219,467,315,331,353,342,412,799,742,657,639,608,380,738,905,766,649,687,867,1227,1772,2211,1617,1504,1094,1212,1370,2284,2450,1886,637,746,698,1056,1340,1509,238,324,347,443,525,655,380,520,518,676,754,1030,1116,1441,1558,1844,2138,3007,560,662,847,977,1104,1473,113,179,256,357,327,434
Calumet County,15,2992,2601,2837,2846,3418,3008,3561,2576,3148,3254,3827,3468,3345,3119,2921,3453,3678,3813,1864,2185,1587,2066,2315,2441,920,1216,866,1000,1074,1295,340,585,408,423,427,499,333,538,376,387,397,502,1052,1536,1208,1130,1267,1529,1695,2479,2942,2351,2617,2681,1478,2260,3199,3235,3278,3165,2791,3309,5119,7426,7314,6945,2689,2892,3216,5483,8108,7216,1179,1345,1357,1820,3230,4024,412,507,559,586,1038,1515,556,732,776,801,1358,2098,1430,1806,2158,2307,2977,5135,764,894,1210,1571,1879,2253,203,287,404,492,769,855
Chippewa County,17,4437,4191,3877,3451,4117,3521,5358,4282,4483,3882,4024,4190,5516,4900,4153,4448,4045,4539,3192,3408,2317,2821,2523,2511,1527,1851,1370,1461,1391,1353,648,827,616,582,583,619,600,822,599,563,613,572,1841,2482,1756,1655,2139,1847,2578,4150,4040,2925,4045,3662,2378,3717,4345,3519,3838,4289,4859,5358,7733,9128,8098,8627,5077,4771,5029,7801,9965,8014,2328,2398,2198,2676,4427,5012,882,965,939,905,1587,2057,1190,1383,1421,1341,2085,2840,3133,3831,4002,4099,4664,7534,1743,2101,2585,2799,2966,3565,430,690,897,1139,1305,1545
Clark County,19,2575,2705,2429,2555,2913,2674,3289,2708,2885,2589,2799,2786,3640,3050,2767,2949,2772,2922,2104,2155,1488,1945,1607,1589,728,1043,773,967,861,883,258,468,312,340,380,368,252,409,297,341,350,413,828,1450,993,931,1086,1125,1408,2314,2056,1808,1936,1737,1351,1957,2362,1971,1837,1883,2994,3193,4060,5017,3891,3634,3271,3107,2952,4012,4905,3755,1733,1627,1393,1464,2208,2323,656,588,548,538,730,981,924,1012,872,757,1002,1368,2473,2947,2793,2562,2556,3463,1512,1610,2002,1982,1887,1908,365,567,665,829,970,847
